Length of Requisito,Nomic Topic: broad,Requisito,ID,row_number
44,Decision Making,Explicar conceptos económicos a no expertos,7b29bfbc4093505fbc27c5d5a0c93f91,169
20,Gestión de Inventario,Gestión de personal,73129da0695eefdd04133183d1f80e1d,934
48,Contabilidad,Habilidades básicas de conversación en inglés,9858b2f6aea0fd018c55454849fac76b,3935
14,Software Skills,Microsoft Word,cf387b7c4ae075b7811962ace3fc2c7a,2021
21,Gestión de Cambio,Adaptación al cambio,bd9a51caa939827b01593e92501e886b,551
20,Contabilidad,Contabilidad general,2ac6eff23b66ca70c84fe7bc0fe5c145,3642
10,Decision Making,redacción,b89d315c888cd41f2b36005c5092a306,3
68,Contabilidad,Procesos medulares del área de mercadeo y venta (comercialización),a02982a4975198566f6b97503538360b,2736
7,Gestión de Cambio,puntual,9e5029dc85d5fa8ce1add8c9be3433e7,4057
68,Contabilidad,Implementación de mejoras en los flujos operativos y uso de espacio,157109925c3856f376aa33f005be8f33,4004
14,Software Skills,Microsoft Word,cf387b7c4ae075b7811962ace3fc2c7a,1925
18,Gestión de Inventario,Manejo de personal,73129da0695eefdd04133183d1f80e1d,883
22,Gestión de Inventario,Mejora del rendimiento,cf387b7c4ae075b7811962ace3fc2c7a,1920
54,Administración,Realizar estrategias para minimizar la merma en tienda,73129da0695eefdd04133183d1f80e1d,929
20,Decision Making,Legislación laboral,6124e3fe696f8a3d50ea1f1c4d1ffcde,3548
73,Contabilidad,"normativas contables y fiscales internacionales, especialmente en EE. UU.",a3af73fb208455ba8d745b9cf4c39f3f,1124
13,Office Administration,organización,2b76d277c5a43e765bcaad5f816b215a,3051
12,Decision Making,Negociación,a02982a4975198566f6b97503538360b,2751
20,Contabilidad,Comunicador efectivo,2ac6eff23b66ca70c84fe7bc0fe5c145,3615
17,Gestión de Inventario,Trabajo en equipo,cf387b7c4ae075b7811962ace3fc2c7a,2036
32,Finanzas,normativas legales y financieras,16adc08fb93ed1d8f6dd92c67552acb1,2475
16,Software Skills,Microsoft Office,cf387b7c4ae075b7811962ace3fc2c7a,1787
31,Decision Making,Capacidad de toma de decisiones,11cb391a58314f6d43b383020bbde9f8,2395
17,Software Skills,Microsoft Outlook,cf387b7c4ae075b7811962ace3fc2c7a,1911
88,Finanzas,Proporcionar información financiera relevante para la toma de decisiones estratégicas.,83d368ebad67d01e1144ab712988efc3,687
7,Software Skills,léxico,9e5029dc85d5fa8ce1add8c9be3433e7,4071
27,Contabilidad,Digitalización de facturas,1352e4ef2e32e74a0022a4a9ee6010d6,247
15,Software Skills,Microsoft Excel,cf387b7c4ae075b7811962ace3fc2c7a,1849
21,Decision Making,Orientación al logro,bd9a51caa939827b01593e92501e886b,623
36,Decision Making,redacción de informes psicológicos,7cb2c032c34c2cb5679592c0758325f4,1707
39,Contabilidad,Cumplimiento de normas y procedimientos,6eecf1e16667a29a33a86b6327e72e3c,2206
20,Gestión de Inventario,Gestión de personal,73129da0695eefdd04133183d1f80e1d,1066
30,Gestión de Inventario,Manejo y Control de inventario,73129da0695eefdd04133183d1f80e1d,913
