"countries","year","produccion_pais","production_opep","Price OPEP","Price Average Annual"
"Algeria",1980,1019.866,24684.709,35.52,36.83
"Congo",1980,55.831,24684.709,35.52,36.83
"Equatorial Guinea",1980,0,24684.709,35.52,36.83
"Gabon",1980,174.5,24684.709,35.52,36.83
"IR Iran",1980,1467.393,24684.709,35.52,36.83
"Iraq",1980,2646.448,24684.709,35.52,36.83
"Kuwait",1980,1663.7,24684.709,35.52,36.83
"Libya",1980,1831.58,24684.709,35.52,36.83
"Nigeria",1980,2058,24684.709,35.52,36.83
"Saudi Arabia",1980,9900.5,24684.709,35.52,36.83
"United Arab Emirates",1980,1701.891,24684.709,35.52,36.83
"Venezuela",1980,2165,24684.709,35.52,36.83
"Algeria",1981,797.8,20380.62,34,35.93
"Congo",1981,65.479,20380.62,34,35.93
"Equatorial Guinea",1981,0,20380.62,34,35.93
"Gabon",1981,151.4,20380.62,34,35.93
"IR Iran",1981,1262.841,20380.62,34,35.93
"Iraq",1981,897.4,20380.62,34,35.93
"Kuwait",1981,1129.7,20380.62,34,35.93
"Libya",1981,1217.8,20380.62,34,35.93
"Nigeria",1981,1439.6,20380.62,34,35.93
"Saudi Arabia",1981,9808,20380.62,34,35.93
"United Arab Emirates",1981,1502.3,20380.62,34,35.93
"Venezuela",1981,2108.3,20380.62,34,35.93
"Algeria",1982,704.5,17315.068,32.38,32.97
"Congo",1982,82.34,17315.068,32.38,32.97
"Equatorial Guinea",1982,0,17315.068,32.38,32.97
"Gabon",1982,155.1,17315.068,32.38,32.97
"IR Iran",1982,2420.641,17315.068,32.38,32.97
"Iraq",1982,1078.387,17315.068,32.38,32.97
"Kuwait",1982,824.3,17315.068,32.38,32.97
"Libya",1982,1136,17315.068,32.38,32.97
"Nigeria",1982,1287,17315.068,32.38,32.97
"Saudi Arabia",1982,6483,17315.068,32.38,32.97
"United Arab Emirates",1982,1248.8,17315.068,32.38,32.97
"Venezuela",1982,1895,17315.068,32.38,32.97
"Algeria",1983,660.9,15343.664,29.09,29.55
"Congo",1983,87,15343.664,29.09,29.55
"Equatorial Guinea",1983,0,15343.664,29.09,29.55
"Gabon",1983,155.4,15343.664,29.09,29.55
"IR Iran",1983,2441.685,15343.664,29.09,29.55
"Iraq",1983,1098.788,15343.664,29.09,29.55
"Kuwait",1983,1054.1,15343.664,29.09,29.55
"Libya",1983,1121.059,15343.664,29.09,29.55
"Nigeria",1983,1235.5,15343.664,29.09,29.55
"Saudi Arabia",1983,4539.41,15343.664,29.09,29.55
"United Arab Emirates",1983,1149.022,15343.664,29.09,29.55
"Venezuela",1983,1800.8,15343.664,29.09,29.55
"Algeria",1984,695.4,14602.722,28.2,28.78
"Congo",1984,117,14602.722,28.2,28.78
"Equatorial Guinea",1984,0,14602.722,28.2,28.78
"Gabon",1984,157.4,14602.722,28.2,28.78
"IR Iran",1984,2032.4,14602.722,28.2,28.78
"Iraq",1984,1221.32,14602.722,28.2,28.78
"Kuwait",1984,1163,14602.722,28.2,28.78
"Libya",1984,984.6,14602.722,28.2,28.78
"Nigeria",1984,1388,14602.722,28.2,28.78
"Saudi Arabia",1984,4079.081,14602.722,28.2,28.78
"United Arab Emirates",1984,1069.021,14602.722,28.2,28.78
"Venezuela",1984,1695.5,14602.722,28.2,28.78
"Algeria",1985,672.377,13734.83,27.01,27.56
"Congo",1985,113,13734.83,27.01,27.56
"Equatorial Guinea",1985,0,13734.83,27.01,27.56
"Gabon",1985,171.7,13734.83,27.01,27.56
"IR Iran",1985,2192.326,13734.83,27.01,27.56
"Iraq",1985,1404.358,13734.83,27.01,27.56
"Kuwait",1985,936.323,13734.83,27.01,27.56
"Libya",1985,997.745,13734.83,27.01,27.56
"Nigeria",1985,1498.9,13734.83,27.01,27.56
"Saudi Arabia",1985,3174.955,13734.83,27.01,27.56
"United Arab Emirates",1985,1009.146,13734.83,27.01,27.56
"Venezuela",1985,1564,13734.83,27.01,27.56
